num,angular_velocity
1,0.458734002909
2,0.917501493053
3,0.917530209204
4,0.91749672197
5,0.458734002909
6,0.0
7,0.458738773395
8,0.458738773395
9,0.0
10,0.458719783782
11,0.458719783782
12,0.0
13,0.458757948077
14,0.917496813213
15,0.458738865136
16,0.458772261325
17,0.917525438518
18,0.917487180102
19,0.458734002909
20,0.458738773395
21,0.458738773395
22,0.458743635722
23,0.458743635722
24,0.458772261325
25,0.458772261325
26,0.0
27,0.458710151971
28,0.458710151971
29,0.0
30,0.458729232523
31,0.458729232523
32,0.458738773395
33,0.458738773395
34,0.458762719061
35,0.458762719061
36,0.0
37,0.458757948077
38,0.458757948077
39,0.458757948077
40,0.458757948077
41,0.0
42,0.0
43,0.458748314663
44,0.458748314663
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.457737591274
54,0.457737591274
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.458734094649
72,0.458734094649
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.458748314663
82,0.458748314663
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.458767490143
127,0.458767490143
128,0.458757948077
129,0.458757948077
130,0.458743635722
131,0.917472868246
132,0.917496722667
133,0.91752057559
134,0.458753085446
135,0.458743635722
136,0.917463327771
137,0.458719692049
138,0.458748406408
139,0.917511125469
140,0.917487181297
141,0.917468097959
142,0.458743635722
143,0.458729232523
144,0.917501493848
145,0.917501585586
146,0.917492043321
147,0.917487181297
148,0.458724462236
149,0.458734094649
150,0.917501584792
151,0.917487182192
152,0.458719692049
153,0.458753177193
154,0.458753177193
155,0.458772261325
156,0.458772261325
157,0.458772261325
158,0.458772261325
159,0.458757948077
160,0.458757948077
161,0.0
162,0.45876262731
163,0.45876262731
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.458772261325
185,0.458772261325
186,0.458772261325
187,0.458772261325
188,0.0
189,0.458724462236
190,0.458724462236
191,0.0
192,0.458719692049
193,0.458719692049
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.458719692049
217,0.458719692049
218,0.458743635722
219,0.458743635722
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.458719692049
229,0.458719692049
230,0.458724462236
231,0.917482410314
232,1.37627384423
233,1.37625476129
234,1.37622595309
235,1.37622595309
236,1.37624521952
237,1.37623558691
238,0.917463327172
239,0.917506355974
240,0.917544522651
241,0.458772261325
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.458724553972
259,0.458724553972
260,0.458719692049
261,0.917491953374
262,0.458772261325
263,0.458748314663
264,0.917468006712
265,0.917448924572
266,0.458729232523
267,0.917477730272
268,2.2937802007
269,2.75253310237
270,3.66985294312
271,5.04608357506
272,6.42244778118
273,7.79854961002
274,9.63342837345
275,12.3860198166
276,14.2208985824
277,14.6798712158
278,14.2212087702
279,13.7619485345
280,11.9268895004
281,6.88109252744
282,2.29383745072
283,0.917501584792
284,0.458734094649
285,0.0
286,0.458719692049
287,0.917453694958
288,1.3762115497
289,1.37622118251
290,0.458743635722
291,0.0
292,0.0
293,0.0
294,0.917439384097
295,1.83495528025
296,2.29371790488
297,2.75247585296
298,3.21132472047
299,3.67006358502
300,4.12868272332
301,4.12866364018
302,3.21121022104
303,3.66991046238
304,4.12868749261
305,3.21123884486
306,3.21127701153
307,3.21133426274
308,2.75261925441
309,3.21140582928
310,3.21136288953
311,2.2937227687
312,2.29376570845
313,2.29376570845
314,1.83499344712
315,1.83506996077
316,1.37627375278
317,0.917520575988
318,0.917544522651
319,0.917539751469
320,0.91752057559
321,0.458753085446
322,0.458748406408
323,0.917501583601
324,0.458753177193
325,0.458743543979
326,0.458743543979
327,0.0
328,0.0
329,0.458724553972
330,0.458724553972
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.458748406408
345,0.458748406408
346,0.458753085446
347,0.458753085446
